"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Class","ClassCreation","","0","0","3","0","0"
"LinkStudentToTeacher","LinkStudentToTeacher","","0","0","4","0","0"
"Login","Login","","0","0","8","0","0"
"","","","0","0","0","0","4"
"StudentTask","Activity","","0","0","6","0","0"
"Pretest","Pretest","","0","0","2","0","0"
"Login","StudentSignUp","","6","0","0","0","0"
"SignUp","StudentSignUp","","3","0","1","0","0"
"SignUp","TeacherSignUp","","3","0","4","0","0"
"StudentTask","Pretest","","0","0","0","0","3"
"StudentTask","CompletingNextQuiz","","0","0","2","0","0"
"BackOffice","BackOffice","","0","0","1","0","0"
"Students","AddStudents","","0","0","1","0","0"
